poll_id,numeric_grade,pollscore,transparency_score,state,poll_start_date,poll_end_date,question_id,sample_size,race_id,cycle,office_type,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,party,answer,candidate_id,candidate_name,pct
87555,3.0,-1.1,9.0,0,,,204186,431.0,8915,2024,U.S. President,0.0,0,primary,False,False,DEM,Harris,16661,Kamala Harris,77.0
87555,3.0,-1.1,9.0,0,,,204186,431.0,8915,2024,U.S. President,0.0,0,primary,False,False,DEM,Whitmer,28588,Gretchen Whitmer,3.0
87555,3.0,-1.1,9.0,0,,,204186,431.0,8915,2024,U.S. President,0.0,0,primary,False,False,DEM,Newsom,18945,Gavin Newsom,5.0
87555,3.0,-1.1,9.0,0,,,204186,431.0,8915,2024,U.S. President,0.0,0,primary,False,False,DEM,Buttigieg,16662,Pete Buttigieg,5.0
87555,3.0,-1.1,9.0,0,,,204186,431.0,8915,2024,U.S. President,0.0,0,primary,False,False,DEM,Shapiro,30877,Josh Shapiro,2.0
87555,3.0,-1.1,9.0,0,,,204186,431.0,8915,2024,U.S. President,0.0,0,primary,False,False,DEM,Manchin,28686,"Joe Manchin, III",1.0
87536,3.0,-1.1,9.0,0,,,204105,741.0,8915,2024,U.S. President,0.0,0,primary,False,False,DEM,Harris,16661,Kamala Harris,56.0
87536,3.0,-1.1,9.0,0,,,204105,741.0,8915,2024,U.S. President,0.0,0,primary,False,False,DEM,Whitmer,28588,Gretchen Whitmer,6.0
87536,3.0,-1.1,9.0,0,,,204105,741.0,8915,2024,U.S. President,0.0,0,primary,False,False,DEM,Newsom,18945,Gavin Newsom,8.0
87536,3.0,-1.1,9.0,0,,,204105,741.0,8915,2024,U.S. President,0.0,0,primary,False,False,DEM,Warnock,30192,Raphael Warnock,2.0
87523,1.9,-0.3,3.0,0,,,203778,900.0,8915,2024,U.S. President,0.0,0,primary,False,False,DEM,Harris,16661,Kamala Harris,65.0
87523,1.9,-0.3,3.0,0,,,203778,900.0,8915,2024,U.S. President,0.0,0,primary,False,False,DEM,Newsom,18945,Gavin Newsom,7.0
87523,1.9,-0.3,3.0,0,,,203778,900.0,8915,2024,U.S. President,0.0,0,primary,False,False,DEM,Buttigieg,16662,Pete Buttigieg,4.0
87523,1.9,-0.3,3.0,0,,,203778,900.0,8915,2024,U.S. President,0.0,0,primary,False,False,DEM,Whitmer,28588,Gretchen Whitmer,3.0
87523,1.9,-0.3,3.0,0,,,203778,900.0,8915,2024,U.S. President,0.0,0,primary,False,False,DEM,Shapiro,30877,Josh Shapiro,3.0
87523,1.9,-0.3,3.0,0,,,203778,900.0,8915,2024,U.S. President,0.0,0,primary,False,False,DEM,Pritzker,28732,J.B. Pritzker,2.0
87523,1.9,-0.3,3.0,0,,,203778,900.0,8915,2024,U.S. President,0.0,0,primary,False,False,DEM,Beshear,28587,Andy Beshear,1.0
87523,1.9,-0.3,3.0,0,,,203778,900.0,8915,2024,U.S. President,0.0,0,primary,False,False,DEM,Moore,31024,Wes Moore,1.0
87523,1.9,-0.3,3.0,0,,,203778,900.0,8915,2024,U.S. President,0.0,0,primary,False,False,DEM,Cooper,28743,Roy A. Cooper,1.0
87523,1.9,-0.3,3.0,0,,,203778,900.0,8915,2024,U.S. President,0.0,0,primary,False,False,DEM,Manchin,28686,"Joe Manchin, III",1.0
87529,3.0,-1.1,9.0,0,,,203952,532.0,8915,2024,U.S. President,0.0,0,primary,False,False,DEM,Harris,16661,Kamala Harris,49.0
87529,3.0,-1.1,9.0,0,,,203952,532.0,8915,2024,U.S. President,0.0,0,primary,False,False,DEM,Buttigieg,16662,Pete Buttigieg,7.0
87529,3.0,-1.1,9.0,0,,,203952,532.0,8915,2024,U.S. President,0.0,0,primary,False,False,DEM,Newsom,18945,Gavin Newsom,9.0
87529,3.0,-1.1,9.0,0,,,203952,532.0,8915,2024,U.S. President,0.0,0,primary,False,False,DEM,Whitmer,28588,Gretchen Whitmer,5.0
87529,3.0,-1.1,9.0,0,,,203952,532.0,8915,2024,U.S. President,0.0,0,primary,False,False,DEM,Shapiro,30877,Josh Shapiro,3.0
87529,3.0,-1.1,9.0,0,,,203952,532.0,8915,2024,U.S. President,0.0,0,primary,False,False,DEM,Pritzker,28732,J.B. Pritzker,2.0
87529,3.0,-1.1,9.0,0,,,203952,532.0,8915,2024,U.S. President,0.0,0,primary,False,False,DEM,Moore,31024,Wes Moore,1.0
87529,3.0,-1.1,9.0,0,,,203952,532.0,8915,2024,U.S. President,0.0,0,primary,False,False,DEM,Beshear,28587,Andy Beshear,2.0
87529,3.0,-1.1,9.0,0,,,203952,532.0,8915,2024,U.S. President,0.0,0,primary,False,False,DEM,Warnock,30192,Raphael Warnock,1.0
